dataset                  unique_queries  unique_documents
---------------------------------------------------------
s2orc_title_abstract     41371411  41190240
paq                      64371441   9004577
s2orc_title_citation     50002813  15569629
s2orc_abstract_citation  39437542  16948579
bioasq                   13188330  14095691
stackexchange             4750559   4749486
msmarco                    509919   8841823
xnli                      1797342   5456496
fever                      116476   5416568
hotpotqa                    90447   5233329
gooaq                     3012496   1476024
amazonqa                   979379   2285196
yahooanswers              1181900   1187959
mrtydi                      48729   1002296
eli5                       323136    325293
snli                       152819    484588
cnndm                      295487    297372
pubmedqa                   273303    273458
mnli                       134332    410084
stackexchange_dup_s2s      303293    159022
xsum                       214378    215164
wikihow                    213821    208836
stackexchange_dup_p2p      249715    124334
stackoverflow_dup           19820    354043
sentence_compression       180000    176409
specter                    136645    104439
miracl                      28574    198516
naturalquestions           100231     75215
qqp                         86169     86073
anli                         9694    154325
triviaqa                    73346     64137
squad                       97888     20958
fiqa2018                     6000     57638
arguana                     21455      7273
nfcorpus                     2914      3633
stsbenchmark                 3210      3210
scifact                       809      5183
sts22                        1531      1531
sts12                        1356      1356
---------------------------------------------------------
TOTAL                    223 788 710  136 269 983
